Day,Start_Time,End_Time,Class,Section,Subject,Teacher
Monday,11:15,12:00,CLASS PP,A,বাংলা,TR
Monday,11:15,12:00,CLASS I,A,বাংলা,SBR
Monday,11:15,12:00,CLASS II,A,বাংলা,RS
Monday,11:15,12:00,CLASS III,A,বাংলা,UNJ
Monday,11:15,12:00,CLASS IV,A,বাংলা,BKP
Monday,11:15,12:00,CLASS IV,B,বাংলা,SP
Monday,11:15,12:00,CLASS V,A,বাংলা,TKM
Monday,12:00,12:45,CLASS PP,A,গণিত,RS
Monday,12:00,12:45,CLASS I,A,গণিত,MK
Monday,12:00,12:45,CLASS II,A,গণিত,TR
Monday,12:00,12:45,CLASS III,A,গণিত,SP
Monday,12:00,12:45,CLASS IV,A,গণিত,TKM
Monday,12:00,12:45,CLASS IV,B,গণিত,UNJ
Monday,12:00,12:45,CLASS V,A,গণিত,BKP
Monday,12:45,13:30,CLASS PP,A,ইংরেজি,MK
Monday,12:45,13:30,CLASS I,A,ইংরেজি,RS
Monday,12:45,13:30,CLASS II,A,ইংরেজি,SBR
Monday,12:45,13:30,CLASS III,A,ইংরেজি,TKM
Monday,12:45,13:30,CLASS IV,A,ইংরেজি,UNJ
Monday,12:45,13:30,CLASS IV,B,ইংরেজি,BKP
Monday,12:45,13:30,CLASS V,A,ইংরেজি,SP
Monday,14:20,15:00,CLASS I,A,সহজপাঠ,SBR
Monday,14:20,15:00,CLASS II,A,সহজপাঠ,RS
Monday,14:20,15:00,CLASS III,A,কম্পিউটার,TR
Monday,14:20,15:00,CLASS IV,A,পরিবেশ,SP
Monday,14:20,15:00,CLASS IV,B,পরিবেশ,TKM
Monday,14:20,15:00,CLASS V,A,পরিবেশ,UNJ
Monday,15:00,15:30,CLASS I,A,স্বাস্থ্য,SP
Monday,15:00,15:30,CLASS II,A,স্বাস্থ্য,UNJ
Monday,15:00,15:30,CLASS III,A,পরিবেশ,BKP
Monday,15:00,15:30,CLASS IV,A,জি. কে,RS
Monday,15:00,15:30,CLASS IV,B,জি. কে,SBR
Monday,15:00,15:30,CLASS V,A,"নাচ, গান, নাটক, আবৃত্তি",TR
Tuesday,11:15,12:00,CLASS PP,A,বাংলা,TR
Tuesday,11:15,12:00,CLASS I,A,বাংলা,SBR
Tuesday,11:15,12:00,CLASS II,A,বাংলা,RS
Tuesday,11:15,12:00,CLASS III,A,বাংলা,UNJ
Tuesday,11:15,12:00,CLASS IV,A,বাংলা,BKP
Tuesday,11:15,12:00,CLASS IV,B,বাংলা,SP
Tuesday,11:15,12:00,CLASS V,A,বাংলা,TKM
Tuesday,12:00,12:45,CLASS PP,A,গণিত,RS
Tuesday,12:00,12:45,CLASS I,A,গণিত,MK
Tuesday,12:00,12:45,CLASS II,A,গণিত,TR
Tuesday,12:00,12:45,CLASS III,A,গণিত,SP
Tuesday,12:00,12:45,CLASS IV,A,গণিত,TKM
Tuesday,12:00,12:45,CLASS IV,B,গণিত,UNJ
Tuesday,12:00,12:45,CLASS V,A,গণিত,BKP
Tuesday,12:45,13:30,CLASS PP,A,ইংরেজি,MK
Tuesday,12:45,13:30,CLASS I,A,ইংরেজি,RS
Tuesday,12:45,13:30,CLASS II,A,ইংরেজি,SBR
Tuesday,12:45,13:30,CLASS III,A,ইংরেজি,TKM
Tuesday,12:45,13:30,CLASS IV,A,ইংরেজি,UNJ
Tuesday,12:45,13:30,CLASS IV,B,ইংরেজি,BKP
Tuesday,12:45,13:30,CLASS V,A,ইংরেজি,SP
Wednesday,11:15,12:00,CLASS PP,A,বাংলা,TR
Wednesday,11:15,12:00,CLASS I,A,বাংলা,SBR
Wednesday,11:15,12:00,CLASS II,A,বাংলা,RS
Wednesday,11:15,12:00,CLASS III,A,বাংলা,UNJ
Wednesday,11:15,12:00,CLASS IV,A,বাংলা,BKP
Wednesday,11:15,12:00,CLASS IV,B,বাংলা,SP
Wednesday,11:15,12:00,CLASS V,A,বাংলা,TKM
Wednesday,12:00,12:45,CLASS PP,A,গণিত,RS
Wednesday,12:00,12:45,CLASS I,A,গণিত,MK
Wednesday,12:00,12:45,CLASS II,A,গণিত,TR
Wednesday,12:00,12:45,CLASS III,A,গণিত,SP
Wednesday,12:00,12:45,CLASS IV,A,গণিত,TKM
Wednesday,12:00,12:45,CLASS IV,B,গণিত,UNJ
Wednesday,12:00,12:45,CLASS V,A,গণিত,BKP
Wednesday,12:45,13:30,CLASS PP,A,ইংরেজি,MK
Wednesday,12:45,13:30,CLASS I,A,ইংরেজি,RS
Wednesday,12:45,13:30,CLASS II,A,ইংরেজি,SBR
Wednesday,12:45,13:30,CLASS III,A,ইংরেজি,TKM
Wednesday,12:45,13:30,CLASS IV,A,ইংরেজি,UNJ
Wednesday,12:45,13:30,CLASS IV,B,ইংরেজি,BKP
Wednesday,12:45,13:30,CLASS V,A,ইংরেজি,SP
Thursday,11:15,12:00,CLASS PP,A,বাংলা,TR
Thursday,11:15,12:00,CLASS I,A,বাংলা,SBR
Thursday,11:15,12:00,CLASS II,A,বাংলা,RS
Thursday,11:15,12:00,CLASS III,A,বাংলা,UNJ
Thursday,11:15,12:00,CLASS IV,A,বাংলা,BKP
Thursday,11:15,12:00,CLASS IV,B,বাংলা,SP
Thursday,11:15,12:00,CLASS V,A,বাংলা,TKM
Thursday,12:00,12:45,CLASS PP,A,গণিত,RS
Thursday,12:00,12:45,CLASS I,A,গণিত,MK
Thursday,12:00,12:45,CLASS II,A,গণিত,TR
Thursday,12:00,12:45,CLASS III,A,গণিত,SP
Thursday,12:00,12:45,CLASS IV,A,গণিত,TKM
Thursday,12:00,12:45,CLASS IV,B,গণিত,UNJ
Thursday,12:00,12:45,CLASS V,A,গণিত,BKP
Thursday,12:45,13:30,CLASS PP,A,ইংরেজি,MK
Thursday,12:45,13:30,CLASS I,A,ইংরেজি,RS
Thursday,12:45,13:30,CLASS II,A,ইংরেজি,SBR
Thursday,12:45,13:30,CLASS III,A,ইংরেজি,TKM
Thursday,12:45,13:30,CLASS IV,A,ইংরেজি,UNJ
Thursday,12:45,13:30,CLASS IV,B,ইংরেজি,BKP
Thursday,12:45,13:30,CLASS V,A,ইংরেজি,SP
Friday,11:15,12:00,CLASS PP,A,বাংলা,TR
Friday,11:15,12:00,CLASS I,A,বাংলা,SBR
Friday,11:15,12:00,CLASS II,A,বাংলা,RS
Friday,11:15,12:00,CLASS III,A,বাংলা,UNJ
Friday,11:15,12:00,CLASS IV,A,বাংলা,BKP
Friday,11:15,12:00,CLASS IV,B,বাংলা,SP
Friday,11:15,12:00,CLASS V,A,বাংলা,TKM
Friday,12:00,12:45,CLASS PP,A,গণিত,RS
Friday,12:00,12:45,CLASS I,A,গণিত,MK
Friday,12:00,12:45,CLASS II,A,গণিত,TR
Friday,12:00,12:45,CLASS III,A,গণিত,SP
Friday,12:00,12:45,CLASS IV,A,গণিত,TKM
